Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1848109,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1851099,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1852134,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1853109,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1854088,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1855086,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1856084,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1857086,00000329,false,Rx,0,8,4F,7D,80,0E,11,22,00,14,
1858087,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1861099,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1862086,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1863099,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1864087,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1865090,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1866087,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1867087,00000329,false,Rx,0,8,4F,7D,80,0E,11,22,00,14,
1868123,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1871104,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1872088,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1873090,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1874083,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1875108,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1876083,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1877086,00000329,false,Rx,0,8,4F,7D,80,0E,11,25,00,14,
1878084,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1881076,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1882109,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1883084,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1884089,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1885085,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1886084,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1887083,00000329,false,Rx,0,8,4F,7D,80,0E,11,2E,00,14,
1888084,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1891097,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1892084,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
