$STARTTIME=45628.8611853472
Start time: 02/12/2024 20:40:06.414

C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.csv

    Generated by PEAK-Converter Version 3.0.3.557
    Data imported from C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.trc

-------------------------------------------------------------------------------
   Glossary:
     Rx: The frame was received
     Tx: The frame was transmitted
     DT: CAN or J1939 data frame
     FD: CAN FD data frame
     FB: CAN FD data frame with BRS bit set (Bit Rate Switch)
     FE: CAN FD data frame with ESI bit set (Error State Indicator)
     BI: CAN FD data frame with both BRS and ESI bits set
     RR: Remote Request Frame
     ST: Hardware Status change
     ER: Error Frame
     EV: Event. User-defined text, begins directly after 2-digit type indicator
     Reserved column: Destination address of a J1939 message, if any
-------------------------------------------------------------------------------

Number Time (ms) Bus Direction Type ID (hex) Reserved Length D0 D1 D2 D3 D4 D5 D6 D7 D... 
2115 1122.900 1 Rx DT 0453 - 5 00 80 80 00 00
2116 1123.200 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 00
2117 1123.800 1 Rx DT 0130 - 8 A2 7F 4D 80 00 00 0D 54
2118 1124.000 1 Rx DT 0140 - 8 53 81 00 65 20 00 0C CD
2119 1124.200 1 Rx DT 0162 - 3 EC 01 00
2120 1124.800 1 Rx DT 0386 - 8 00 80 00 C0 00 40 00 80
2121 1125.000 1 Rx DT 0387 - 8 02 14 00 00 00 18 02 00
2122 1126.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 00 AE
2123 1126.700 1 Rx DT 0164 - 4 00 08 06 0E
2124 1126.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D0 0F BC
2125 1127.100 1 Rx DT 0251 - 8 E4 03 26 2E 00 EB B7 7F
2126 1127.300 1 Rx DT 02B0 - 5 49 FF 00 07 C6
2127 1127.600 1 Rx DT 0381 - 8 80 60 3F 00 00 13 33 01
2128 1129.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
2129 1130.000 1 Rx DT 0329 - 8 0F 81 7E 8E 11 32 00 10
2130 1131.200 1 Rx DT 04F1 - 4 20 00 62 81
2131 1131.700 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 08
2132 1132.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2133 1132.300 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2134 1132.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2135 1132.800 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
2136 1133.800 1 Rx DT 0130 - 8 A5 7F 50 80 00 00 0E BB
2137 1134.000 1 Rx DT 0140 - 8 4E 81 00 64 20 00 0D 12
2138 1134.200 1 Rx DT 0162 - 3 EC 01 00
2139 1136.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 10 BE
2140 1136.700 1 Rx DT 0164 - 4 00 08 08 00
2141 1136.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D1 0F CF
2142 1137.200 1 Rx DT 0251 - 8 E0 03 27 58 00 E8 E7 7F
2143 1137.300 1 Rx DT 02B0 - 5 48 FF 00 07 C7
2144 1139.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
2145 1139.900 1 Rx DT 0329 - 8 0F 81 7E 8E 11 33 00 10
2146 1141.900 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2147 1142.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2148 1142.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2149 1142.700 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
2150 1142.900 1 Rx DT 0453 - 5 00 80 80 00 00
2151 1143.200 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 04
2152 1143.700 1 Rx DT 0130 - 8 A1 7F 54 80 00 00 0F 7A
2153 1144.000 1 Rx DT 0140 - 8 49 81 00 64 20 00 0E BB
2154 1144.100 1 Rx DT 0162 - 3 EC 01 00
2155 1144.900 1 Rx DT 0386 - 8 00 C0 00 C0 00 40 00 80
2156 1145.100 1 Rx DT 0387 - 8 02 14 00 00 00 19 03 00
2157 1146.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 20 CE
2158 1146.700 1 Rx DT 0164 - 4 00 08 0A 02
2159 1146.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D2 0F DE
2160 1147.200 1 Rx DT 0251 - 8 E8 03 28 A8 00 EE 27 80
2161 1147.300 1 Rx DT 02B0 - 5 47 FF 00 07 C8
2162 1147.600 1 Rx DT 0381 - 8 80 68 3F 00 00 14 3C 01
2163 1149.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
2164 1150.100 1 Rx DT 0329 - 8 0F 81 7E 8E 11 32 00 10
2165 1151.200 1 Rx DT 04F1 - 4 00 00 62 91
2166 1151.900 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2167 1152.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2168 1152.400 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2169 1152.700 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
2170 1153.000 1 Rx DT 0436 - 4 00 00 00 00
2171 1153.800 1 Rx DT 0130 - 8 A2 7F 51 80 00 00 00 F9
2172 1154.000 1 Rx DT 0140 - 8 46 81 00 64 20 00 0F FA
2173 1154.100 1 Rx DT 0162 - 3 EC 01 00
2174 1156.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 30 DE
2175 1156.700 1 Rx DT 0164 - 4 00 08 0C 04
2176 1156.900 1 Rx DT 0220 - 8 F7 03 80 10 00 D0 0F E0
2177 1157.100 1 Rx DT 0251 - 8 F6 03 29 02 00 F9 67 80
2178 1157.300 1 Rx DT 02B0 - 5 47 FF 00 07 D9
2179 1159.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
2180 1160.000 1 Rx DT 0329 - 8 0F 81 7E 8E 11 32 00 10
2181 1161.600 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
2182 1162.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2183 1162.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2184 1162.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2185 1162.800 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
2186 1162.900 1 Rx DT 0453 - 5 00 80 80 00 00
2187 1163.200 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 08
2188 1163.700 1 Rx DT 0130 - 8 A5 7F 57 80 00 00 01 0B
2189 1164.000 1 Rx DT 0140 - 8 45 81 00 64 20 00 00 A6
2190 1164.200 1 Rx DT 0162 - 3 EC 01 00
2191 1164.800 1 Rx DT 0386 - 8 00 00 00 00 00 40 00 80
2192 1165.100 1 Rx DT 0387 - 8 02 14 00 00 00 1A 04 00
2193 1166.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 40 EE
2194 1166.700 1 Rx DT 0164 - 4 00 08 0E 06
2195 1166.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D1 0F FF
2196 1167.200 1 Rx DT 0251 - 8 04 04 2A 4D 00 03 98 80
2197 1167.300 1 Rx DT 02B0 - 5 49 FF 00 07 0A
2198 1167.600 1 Rx DT 0381 - 8 80 10 40 00 00 15 E6 01
2199 1169.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
2200 1170.000 1 Rx DT 0329 - 8 0F 81 7E 8E 11 32 00 10
2201 1171.300 1 Rx DT 04F1 - 4 00 00 62 A1
2202 1171.900 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2203 1172.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2204 1172.400 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2205 1172.700 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
2206 1173.800 1 Rx DT 0130 - 8 A6 7F 5D 80 00 00 02 68
2207 1174.000 1 Rx DT 0140 - 8 44 81 00 64 20 00 01 E6
2208 1174.200 1 Rx DT 0162 - 3 EC 01 00
2209 1176.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 50 FE
2210 1176.700 1 Rx DT 0164 - 4 00 08 10 18
2211 1176.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D2 0F 0E
2212 1177.100 1 Rx DT 0251 - 8 0F 04 2B 82 00 0C B8 80
2213 1177.300 1 Rx DT 02B0 - 5 48 FF 00 07 0B
2214 1179.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
2215 1179.900 1 Rx DT 0329 - 8 0F 81 7E 8E 11 33 00 10
2216 1182.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2217 1182.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2218 1182.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2219 1182.700 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
2220 1182.900 1 Rx DT 0453 - 5 00 80 80 00 00
2221 1183.200 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 4C
2222 1183.500 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 CC
2223 1183.600 1 Rx DT 0500 - 1 31
2224 1183.800 1 Rx DT 0130 - 8 9D 7F 5F 80 00 00 03 42
2225 1184.100 1 Rx DT 0140 - 8 44 81 00 64 20 00 02 C1
2226 1184.200 1 Rx DT 0162 - 3 EC 01 00
2227 1184.800 1 Rx DT 0386 - 8 00 40 00 00 00 40 00 80
2228 1185.000 1 Rx DT 0387 - 8 02 14 00 00 00 1B 05 00
2229 1186.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 60 0E
2230 1186.700 1 Rx DT 0164 - 4 00 08 12 1A
2231 1186.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D3 0F 11
2232 1187.200 1 Rx DT 0251 - 8 18 04 2C 92 00 12 B8 80
2233 1187.300 1 Rx DT 02B0 - 5 48 FF 00 07 7C
2234 1187.600 1 Rx DT 0381 - 8 80 90 40 00 00 16 67 01
2235 1187.700 1 Rx DT 0507 - 4 00 00 00 00
2236 1189.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
2237 1190.000 1 Rx DT 0329 - 8 4B 81 7E 8E 11 32 00 10
2238 1191.300 1 Rx DT 04F1 - 4 20 00 62 B1
2239 1192.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2240 1192.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2241 1192.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2242 1192.800 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
2243 1193.800 1 Rx DT 0130 - 8 A0 7F 64 80 00 00 04 C7
2244 1194.000 1 Rx DT 0140 - 8 44 81 00 64 20 00 03 DC
2245 1194.200 1 Rx DT 0162 - 3 EC 01 00
2246 1194.600 1 Rx DT 0586 - 3 00 00 00
2247 1196.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 70 1E
2248 1196.700 1 Rx DT 0164 - 4 00 08 14 1C
2249 1196.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 CE 0F 2A
2250 1197.200 1 Rx DT 0251 - 8 1D 04 2D AD 00 17 C8 80
2251 1197.300 1 Rx DT 02B0 - 5 48 FF 00 07 6D
2252 1199.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
2253 1200.100 1 Rx DT 0329 - 8 4B 81 7E 8E 11 32 00 10
2254 1200.300 1 Rx DT 0593 - 6 00 00 FF FF FF FF
2255 1201.900 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2256 1202.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2257 1202.400 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2258 1202.700 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
2259 1202.900 1 Rx DT 0436 - 4 00 00 00 00
2260 1203.100 1 Rx DT 0453 - 5 00 80 80 00 00
2261 1203.400 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 10
2262 1203.600 1 Rx DT 0520 - 8 00 00 00 00 00 00 00 00
2263 1203.900 1 Rx DT 0130 - 8 A0 7F 63 80 00 00 05 D1
2264 1204.100 1 Rx DT 0140 - 8 44 81 00 65 20 00 04 12
2265 1204.400 1 Rx DT 0541 - 8 03 41 01 80 C0 01 00 1C
2266 1204.500 1 Rx DT 0162 - 3 EC 01 00
2267 1204.800 1 Rx DT 0568 - 8 00 04 00 00 00 00 40 00
2268 1205.000 1 Rx DT 0386 - 8 00 80 00 00 00 40 00 80
2269 1205.300 1 Rx DT 0387 - 8 02 14 00 00 00 1C 06 00
2270 1206.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 80 2E
2271 1206.700 1 Rx DT 0164 - 4 00 08 16 1E
2272 1206.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D0 0F 3C
2273 1207.100 1 Rx DT 0251 - 8 22 04 2E B6 00 1A C8 80
2274 1207.400 1 Rx DT 02B0 - 5 47 FF 00 07 AE
2275 1207.600 1 Rx DT 0381 - 8 80 D0 40 00 00 17 A8 01
2276 1209.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
2277 1210.000 1 Rx DT 0329 - 8 4B 81 7E 8E 11 32 00 10
2278 1211.400 1 Rx DT 04F1 - 4 00 00 62 C1
2279 1211.600 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
2280 1212.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2281 1212.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2282 1212.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2283 1212.700 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
2284 1213.800 1 Rx DT 0495 - 8 00 00 05 1A 80 05 00 00
2285 1214.000 1 Rx DT 0130 - 8 A1 7F 65 80 00 00 06 CA
2286 1214.200 1 Rx DT 0140 - 8 43 81 00 64 20 00 05 1C
2287 1214.400 1 Rx DT 0162 - 3 EC 01 00
2288 1216.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 90 3E
2289 1216.700 1 Rx DT 0164 - 4 00 08 18 10
2290 1217.000 1 Rx DT 0220 - 8 F7 03 80 0C 00 D0 0F 4C
2291 1217.200 1 Rx DT 0251 - 8 29 04 2F E4 00 20 E8 80
2292 1217.300 1 Rx DT 02B0 - 5 48 FF 00 07 4F
2293 1219.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
2294 1219.900 1 Rx DT 0329 - 8 4B 81 7E 8E 11 32 00 10
2295 1221.500 1 Rx DT 050C - 8 10 48 00 E8 08 10 00 20
2296 1222.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2297 1222.300 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2298 1222.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2299 1222.800 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
2300 1223.000 1 Rx DT 0453 - 5 00 80 80 00 00
2301 1223.300 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 14
2302 1223.800 1 Rx DT 0130 - 8 9E 7F 67 80 00 00 07 89
2303 1224.000 1 Rx DT 0140 - 8 43 81 00 64 20 00 06 3B
2304 1224.200 1 Rx DT 0162 - 3 EC 01 00
2305 1224.700 1 Rx DT 0386 - 8 00 C0 00 00 00 40 00 80
2306 1225.000 1 Rx DT 0387 - 8 02 14 00 00 00 1D 07 00
2307 1226.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF A0 4E
2308 1226.700 1 Rx DT 0164 - 4 00 08 1A 12
2309 1226.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D0 0F 5C
2310 1227.200 1 Rx DT 0251 - 8 31 04 30 03 00 26 F8 80
2311 1227.400 1 Rx DT 02B0 - 5 48 FF 00 07 B0
2312 1227.600 1 Rx DT 0381 - 8 80 30 41 00 00 18 0A 01
2313 1229.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
2314 1230.100 1 Rx DT 0329 - 8 4B 81 7E 8E 11 32 00 10
2315 1231.500 1 Rx DT 04F1 - 4 20 00 62 D1
2316 1231.800 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 80
2317 1232.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2318 1232.300 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2319 1232.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2320 1232.800 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
2321 1233.800 1 Rx DT 0130 - 8 98 7F 69 80 00 00 08 F7
2322 1234.000 1 Rx DT 0140 - 8 44 81 00 65 20 00 07 35
2323 1234.100 1 Rx DT 0162 - 3 EC 01 00
2324 1236.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF B0 5E
2325 1236.700 1 Rx DT 0164 - 4 00 08 1C 14
2326 1236.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 CF 0F 6D
2327 1237.200 1 Rx DT 0251 - 8 3A 04 31 36 00 2E 18 81
2328 1237.300 1 Rx DT 02B0 - 5 48 FF 00 07 A1
2329 1239.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
2330 1240.100 1 Rx DT 0329 - 8 4B 81 7E 8E 11 32 00 10
2331 1242.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2332 1242.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2333 1242.400 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2334 1242.700 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
2335 1242.900 1 Rx DT 0453 - 5 00 80 80 00 00
2336 1243.200 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 18
2337 1243.800 1 Rx DT 0130 - 8 9B 7F 6E 80 00 00 09 06
2338 1244.000 1 Rx DT 0140 - 8 45 81 00 64 20 00 08 4E
2339 1244.100 1 Rx DT 0162 - 3 EC 01 00
2340 1244.700 1 Rx DT 0386 - 8 00 00 00 40 00 40 00 80
2341 1245.000 1 Rx DT 0387 - 8 02 14 00 00 00 1E 08 00
2342 1246.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF C0 6E
2343 1246.700 1 Rx DT 0164 - 4 00 08 00 08
2344 1246.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 CC 0F 78
2345 1247.200 1 Rx DT 0251 - 8 45 04 32 7A 00 36 48 81
2346 1247.400 1 Rx DT 02B0 - 5 48 FF 00 07 92
2347 1247.600 1 Rx DT 0381 - 8 80 A8 41 00 00 19 83 01
2348 1249.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
2349 1250.000 1 Rx DT 0329 - 8 80 81 7E 8E 11 32 00 10
2350 1251.500 1 Rx DT 04F1 - 4 20 00 62 E1
2351 1251.900 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2352 1252.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2353 1252.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2354 1252.700 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
2355 1252.900 1 Rx DT 0436 - 4 00 00 00 00
2356 1253.700 1 Rx DT 0130 - 8 97 7F 76 80 00 00 0A 03
2357 1254.000 1 Rx DT 0140 - 8 46 81 00 64 20 00 09 B4
2358 1254.200 1 Rx DT 0162 - 3 EC 01 00
2359 1256.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF D0 7E
2360 1256.700 1 Rx DT 0164 - 4 00 08 02 0A
2361 1256.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 CD 0F 8B
2362 1257.200 1 Rx DT 0251 - 8 50 04 33 BF 00 3F 78 81
2363 1257.400 1 Rx DT 02B0 - 5 48 FF 00 07 83
2364 1259.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
2365 1260.000 1 Rx DT 0329 - 8 80 81 7E 8E 11 33 00 10
2366 1261.600 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
2367 1262.100 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2368 1262.300 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2369 1262.600 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2370 1262.800 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
2371 1263.000 1 Rx DT 0453 - 5 00 80 80 00 00
2372 1263.300 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 5C
2373 1263.600 1 Rx DT 0386 - 8 00 40 00 40 00 40 00 80
2374 1263.800 1 Rx DT 0130 - 8 A2 7F 75 80 00 00 0B 42
2375 1264.100 1 Rx DT 0140 - 8 47 81 00 64 20 00 0A CE
2376 1264.400 1 Rx DT 0162 - 3 EC 01 00
2377 1265.000 1 Rx DT 0387 - 8 02 14 00 00 00 1F 09 00
2378 1266.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF E0 8E
2379 1266.700 1 Rx DT 0164 - 4 00 08 04 0C
2380 1267.000 1 Rx DT 0220 - 8 F7 03 80 0C 00 CB 0F 99
2381 1267.200 1 Rx DT 0251 - 8 5B 04 34 E3 00 47 88 81
2382 1267.300 1 Rx DT 02B0 - 5 48 FF 00 07 F4
2383 1267.600 1 Rx DT 0381 - 8 80 30 42 00 00 1A 0D 01
2384 1269.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
2385 1270.000 1 Rx DT 0329 - 8 80 81 7E 8E 11 32 00 10
2386 1271.500 1 Rx DT 04F1 - 4 00 00 62 F1
2387 1271.900 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2388 1272.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2389 1272.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2390 1272.800 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
2391 1273.800 1 Rx DT 0130 - 8 91 7F 78 80 00 00 0C 88
2392 1274.000 1 Rx DT 0140 - 8 48 81 00 65 20 00 0B 12
2393 1274.200 1 Rx DT 0162 - 3 EC 01 00
2394 1276.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 00 AE
2395 1276.700 1 Rx DT 0164 - 4 00 08 06 0E
2396 1276.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 D1 0F AF
2397 1277.200 1 Rx DT 0251 - 8 5B 04 35 A4 00 47 48 81
2398 1277.300 1 Rx DT 02B0 - 5 48 FF 00 07 E5
2399 1279.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
2400 1280.100 1 Rx DT 0329 - 8 80 81 7E 8E 11 32 00 10
2401 1282.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2402 1282.300 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2403 1282.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2404 1282.800 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
2405 1283.000 1 Rx DT 0453 - 5 00 80 80 00 00
2406 1283.300 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 20
2407 1283.500 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 44
2408 1283.700 1 Rx DT 0500 - 1 31
2409 1284.000 1 Rx DT 0130 - 8 96 7F 7F 80 00 00 0D 10
2410 1284.200 1 Rx DT 0140 - 8 48 81 00 64 20 00 0C DC
2411 1284.400 1 Rx DT 0162 - 3 EC 01 00
2412 1284.900 1 Rx DT 0386 - 8 00 80 00 40 00 40 00 80
2413 1285.200 1 Rx DT 0387 - 8 02 14 00 00 00 20 0A 00
2414 1286.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 10 BE
2415 1286.700 1 Rx DT 0164 - 4 00 08 08 00
2416 1287.000 1 Rx DT 0220 - 8 F7 03 80 0C 00 C8 0F B4
2417 1287.200 1 Rx DT 0251 - 8 4B 04 36 C8 00 3B 88 80
2418 1287.400 1 Rx DT 02B0 - 5 48 FF 00 07 D6
2419 1287.600 1 Rx DT 0381 - 8 80 E8 41 00 00 1B C5 01
2420 1287.800 1 Rx DT 0507 - 4 00 00 00 00
2421 1289.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
2422 1290.000 1 Rx DT 0329 - 8 80 81 7E 8E 11 32 00 10
2423 1291.600 1 Rx DT 04F1 - 4 00 00 62 01
2424 1291.800 1 Rx DT 052A - 8 00 02 00 80 04 00 00 00
2425 1292.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2426 1292.300 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2427 1292.600 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2428 1292.900 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
2429 1293.800 1 Rx DT 0130 - 8 9C 7F 82 80 00 00 0E 64
2430 1294.100 1 Rx DT 0140 - 8 48 81 00 64 20 00 0D C1
2431 1294.200 1 Rx DT 0162 - 3 EC 01 00
2432 1294.600 1 Rx DT 0586 - 3 00 00 00
2433 1296.500 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 20 CE
2434 1296.700 1 Rx DT 0164 - 4 00 08 0A 02
2435 1297.000 1 Rx DT 0220 - 8 00 04 80 0C 00 CB 0F C3
2436 1297.200 1 Rx DT 0251 - 8 33 04 37 1E 00 28 08 80
2437 1297.300 1 Rx DT 02B0 - 5 48 FF 00 07 C7
2438 1299.700 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
2439 1299.900 1 Rx DT 0329 - 8 80 81 7E 8E 11 32 00 10
2440 1302.000 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
2441 1302.200 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
2442 1302.500 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
2443 1302.800 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
2444 1303.000 1 Rx DT 0410 - 8 90 12 60 00 80 03 00 00
2445 1303.200 1 Rx DT 0436 - 4 00 00 00 00
2446 1303.400 1 Rx DT 0453 - 5 00 80 80 00 00
2447 1303.700 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 24
2448 1303.900 1 Rx DT 0130 - 8 A0 7F 84 80 00 00 0F 75
2449 1304.200 1 Rx DT 0140 - 8 48 81 00 65 20 00 0E 7B
2450 1304.400 1 Rx DT 050E - 8 01 00 00 00 00 00 00 00
2451 1304.600 1 Rx DT 0162 - 3 EC 01 00
2452 1304.800 1 Rx DT 0386 - 8 00 C0 00 40 00 40 00 80
2453 1305.100 1 Rx DT 0387 - 8 02 14 00 00 00 21 0B 00
2454 1305.400 1 Rx DT 0520 - 8 00 00 00 00 00 00 00 00
2455 1305.700 1 Rx DT 0541 - 8 03 41 01 80 C0 01 00 1C
2456 1305.900 1 Rx DT 0553 - 8 00 01 91 06 01 01 80 00
2457 1306.200 1 Rx DT 0559 - 8 00 00 00 00 00 40 00 00
2458 1306.500 1 Rx DT 0568 - 8 00 04 00 00 00 00 40 00
2459 1306.700 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 30 DE
2460 1306.900 1 Rx DT 0164 - 4 00 08 0C 04
2461 1307.100 1 Rx DT 0220 - 8 00 04 80 0C 00 CE 0F D4
2462 1307.400 1 Rx DT 0251 - 8 1F 04 38 DA 00 18 E8 7F
2463 1307.500 1 Rx DT 02B0 - 5 48 FF 00 07 38
2464 1307.800 1 Rx DT 0381 - 8 80 C8 40 00 00 1C A5 01
2465 1308.000 1 Rx DT 0572 - 8 00 00 00 00 00 00 00 00
2466 1309.800 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
2467 1310.100 1 Rx DT 0329 - 8 E3 81 7E 8E 11 32 00 10
