Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1688000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
1708000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C5,80,
1728000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C7,80,
1748000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C9,80,
1768100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,CB,80,
1788000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
1808000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
1828000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
1848100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
1868100,00000514,false,Rx,0,8,00,08,78,00,4C,2B,C5,80,
1888100,00000514,false,Rx,0,8,00,08,78,00,4C,2B,C7,80,
1908000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
1928100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
1948100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,CD,80,
1968100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,CF,80,
1988100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
2008000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
2028100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C5,80,
2048100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C7,80,
2068100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
2088100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
2108100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
2128100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
2148100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
2168100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
2188100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C5,80,
2208100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C7,80,
2228100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
2248100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
2268100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
2288100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
2308100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
2328100,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
2348100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C5,80,
2368100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C7,80,
2388100,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C9,80,
2408200,00000514,false,Rx,0,8,00,08,78,00,CC,2A,CB,80,
2428200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
2448200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
2468200,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C1,80,
2488200,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C3,80,
2508200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C5,80,
2528200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C7,80,
2548200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
2568200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
2588200,00000514,false,Rx,0,8,00,08,78,00,CC,2A,CD,80,
2608200,00000514,false,Rx,0,8,00,08,78,00,CC,2A,CF,80,
2628200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
2648200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
2668200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C5,80,
2688200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C7,80,
2708200,00000514,false,Rx,0,8,00,08,78,00,4C,2B,C9,80,
2728200,00000514,false,Rx,0,8,00,08,78,00,4C,2B,CB,80,
2748200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
2768200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
2788200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
2808200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
2828200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
2848200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
2868200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
2888200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
2908200,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4D,80,
2928300,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4F,80,
2948200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
2968200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
2988200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
3008300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
3028300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
3048300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
3068200,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
3088300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
3108300,00000514,false,Rx,0,8,00,08,78,00,CC,2A,41,80,
3128300,00000514,false,Rx,0,8,00,08,78,00,CC,2A,43,80,
3148300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
3168300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
3188300,00000514,false,Rx,0,8,00,08,78,00,CC,2A,49,80,
3208300,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4B,80,
3228300,00000514,false,Rx,0,8,00,08,78,00,4C,2B,4D,80,
3248300,00000514,false,Rx,0,8,00,08,78,00,4C,2B,4F,80,
3268300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
3288300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
3308300,00000514,false,Rx,0,8,00,08,78,00,CC,2A,45,80,
3328300,00000514,false,Rx,0,8,00,08,78,00,CC,2A,47,80,
3348300,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
