Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
206000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
215300,00000410,false,Rx,0,8,11,00,22,0C,00,FC,05,C1,
215500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
215800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
216000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
225300,00000410,false,Rx,0,8,11,00,22,0C,00,FC,05,C1,
225500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
225800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
226000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
235300,00000410,false,Rx,0,8,11,00,21,0C,00,F2,05,C1,
235500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
235800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
236000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
245300,00000410,false,Rx,0,8,11,00,21,0C,00,F2,05,C1,
245500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
245800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
246000,00000600,false,Rx,0,8,00,E1,01,4C,CE,2A,38,00,
246300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
255300,00000410,false,Rx,0,8,11,00,22,0C,00,FD,05,C1,
255600,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
255800,00000412,false,Rx,0,8,00,54,01,54,01,10,01,00,
256000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
265500,00000410,false,Rx,0,8,11,00,22,0C,00,F3,05,C1,
265800,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
266100,00000412,false,Rx,0,8,00,54,01,54,01,10,01,00,
266300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
275300,00000410,false,Rx,0,8,11,00,21,0C,00,F3,05,C1,
275500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
275800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
276000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
285300,00000410,false,Rx,0,8,11,00,21,0C,00,00,06,C1,
285500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
285800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
286000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
295300,00000410,false,Rx,0,8,11,00,22,0C,00,00,06,C1,
