Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
856800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
866800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
876800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
886800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
896800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
906800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
916800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
926800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
936900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
946800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
956800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
966700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
976800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
986800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
996700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1006800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1016800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1026700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1036900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1046700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1056700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1066800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1076700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1086700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1096700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1106700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1116700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1126700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1136900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1146700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1156700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1166700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1176700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1186700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1196700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1206700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1216700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1226800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1236700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1246700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1256700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1266600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1276700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1286700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
1296700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
1306700,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
1316900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
1326600,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
